numeric_id,unique_id,original_id,display_name,type,category,disposition,target,authority,note
216,VXL_ITM_RawResource_Gravel,item.resource.gravel,Gravel,item,Raw Resource / Loose,CATEGORY / FORM,composition-bearing Gravel class,LOCKED FCC-12,Exact underlying material follows composition.
217,VXL_ITM_RawResource_CommonHerb,item.resource.herb_common,Common Herb,item,Raw Resource / Alchemy,MATERIAL/FORM REVIEW,Common Herb,POC EVIDENCE + FCC-12,"Resolve underlying canonical material, form and transformation explicitly before rebinding."
218,VXL_ITM_Food_CaveMushroom,item.resource.cave_mushroom,Cave Mushroom,item,Food / Alchemy Ingredient,RELATIONSHIP CLUSTER / REBIND,harvested Cave Mushroom product,FCC-12 + POC EVIDENCE,"Related to Block 59; lifecycle split candidate, not automatic merge."
219,VXL_ITM_RawResource_Reed,item.resource.reed,Reed,item,Raw Resource / Plant,RELATIONSHIP CLUSTER / REBIND,harvested reed material/product,FCC-12 + POC EVIDENCE,Related to Block 58; harvested product may be distinct lifecycle representation.
220,VXL_ITM_ProcessedMaterial_Paper,item.material.paper,Paper,item,Processed Material / Knowledge,MATERIAL/FORM REVIEW,Paper,POC EVIDENCE + FCC-12,"Resolve underlying canonical material, form and transformation explicitly before rebinding."
221,VXL_ITM_ProcessedMaterial_BasicInk,item.material.ink_basic,Basic Ink,item,Processed Material / Writing,MATERIAL/FORM REVIEW,Basic Ink,POC EVIDENCE + FCC-12,"Resolve underlying canonical material, form and transformation explicitly before rebinding."
222,VXL_ITM_ProcessedMaterial_Charcoal,item.material.charcoal,Charcoal,item,Processed Material / Fuel,PROCESSED MATERIAL / REBIND,Charcoal,CURRENT CANON,Canonical Overworld fuel; exact process binding belongs later FCC-13.
223,VXL_ITM_ConstructionMaterial_ClayBrick,item.material.clay_brick,Clay Brick,item,Construction Material / Brick,RELATIONSHIP CLUSTER / REBIND,fired ceramic/clay + brick form,FCC-12 + POC EVIDENCE,Related to Block 60.
224,VXL_ITM_ConstructionMaterial_ClayRoofTile,item.material.roof_tile_clay,Clay Roof Tile,item,Construction Material / Roof,MERGE / SINGLE-DEFINITION,ceramic/clay roof-tile object,FCC-12 SINGLE-DEFINITION,Pairs with legacy Block 61. Final Block/inventory projections must not create duplicate underlying objects.
225,VXL_ITM_ProcessedMaterial_Rope,item.material.rope,Rope,item,Processed Material / Fibre,FORM/PRODUCT REBIND,valid fibre/plant provider + authored form/product,LOCKED FCC-12,Underlying fibre/material must remain explicit; do not use generic Plant Fibre as universal identity.
226,VXL_ITM_ProcessedMaterial_BasicCloth,item.material.cloth_basic,Basic Cloth,item,Processed Material / Textile,FORM/PRODUCT REBIND,valid fibre/plant provider + authored form/product,LOCKED FCC-12,Underlying fibre/material must remain explicit; do not use generic Plant Fibre as universal identity.
227,VXL_ITM_ProcessedMaterial_Leather,item.material.leather,Leather,item,Processed Material / Hide,MATERIAL/FORM REVIEW,Leather,POC EVIDENCE + FCC-12,"Resolve underlying canonical material, form and transformation explicitly before rebinding."
228,VXL_ITM_RefinedMaterial_SteelIngot,item.material.steel_ingot,Steel Ingot,item,Refined Material / Metal,FORM / REBIND CANONICAL,Steel + ingot form,LOCKED FCC-12,Steel is canonical/shared where equivalent; ingot is a physical/product form.
229,VXL_ITM_MachineMaterial_SteelPlate,item.material.steel_plate,Steel Plate,item,Machine Material / Metal,FORM / REBIND CANONICAL,Steel + plate form,LOCKED FCC-12,Steel is canonical/shared where equivalent; plate is a physical/product form.
230,VXL_MCH_MachineComponent_IronGear,item.component.iron_gear,Iron Gear,item,Machine Component / Mechanical,COMPONENT REBIND,component object retaining actual source material,LOCKED FCC-12 + POC,Component is not a material family; exact component identity/recipe remains FCC-13C.
231,VXL_MCH_MachineComponent_WoodenGear,item.component.wooden_gear,Wooden Gear,item,Machine Component / Mechanical,COMPONENT REBIND,component object retaining actual source material,LOCKED FCC-12 + POC,Component is not a material family; exact component identity/recipe remains FCC-13C.
232,VXL_MCH_MachineComponent_WoodenShaft,item.component.shaft_wood,Wooden Shaft,item,Machine Component / Power,COMPONENT REBIND,component object retaining actual source material,LOCKED FCC-12 + POC,Component is not a material family; exact component identity/recipe remains FCC-13C.
233,VXL_MCH_MachineComponent_IronShaft,item.component.shaft_iron,Iron Shaft,item,Machine Component / Power,COMPONENT REBIND,component object retaining actual source material,LOCKED FCC-12 + POC,Component is not a material family; exact component identity/recipe remains FCC-13C.
234,VXL_MCH_MachineComponent_BeltRoll,item.component.belt_roll,Belt Roll,item,Machine Component / Logistics,COMPONENT REBIND CANDIDATE,Belt Roll,PROJECT SYSTEM + POC,Component relationship is plausible for established logistics systems; exact canonical identity remains FCC-13C.
235,VXL_MCH_MachineComponent_ItemPipeSection,item.component.item_pipe_section,Item Pipe Section,item,Machine Component / Logistics,COMPONENT REBIND CANDIDATE,Item Pipe Section,PROJECT SYSTEM + POC,Component relationship is plausible for established logistics systems; exact canonical identity remains FCC-13C.
236,VXL_MCH_MachineComponent_FluidPipeSection,item.component.fluid_pipe_section,Fluid Pipe Section,item,Machine Component / Fluid,COMPONENT REBIND CANDIDATE,Fluid Pipe Section,PROJECT SYSTEM + POC,Component relationship is plausible for established logistics systems; exact canonical identity remains FCC-13C.
237,VXL_MCH_MachineComponent_FilterScreen,item.component.filter_screen,Filter Screen,item,Machine Component / Sorting,COMPONENT REBIND CANDIDATE,Filter Screen,PROJECT SYSTEM + POC,Component relationship is plausible for established logistics systems; exact canonical identity remains FCC-13C.
238,VXL_MCH_MachineComponent_SorterCore,item.component.sorter_core,Sorter Core,item,Machine Component / Logic,COMPONENT REBIND CANDIDATE,Sorter Core,PROJECT SYSTEM + POC,Component relationship is plausible for established logistics systems; exact canonical identity remains FCC-13C.
239,VXL_MCH_MachineComponent_WaterWheelAxle,item.component.water_wheel_axle,Water Wheel Axle,item,Machine Component / Power,COMPONENT REBIND,component object retaining actual source material,LOCKED FCC-12 + POC,Component is not a material family; exact component identity/recipe remains FCC-13C.
240,VXL_MCH_MachineComponent_WindmillSail,item.component.windmill_sail,Windmill Sail,item,Machine Component / Power,COMPONENT REBIND,component object retaining actual source material,LOCKED FCC-12 + POC,Component is not a material family; exact component identity/recipe remains FCC-13C.
241,VXL_MCH_MagicMachineComponent_ManaCoil,item.component.mana_coil,Mana Coil,item,Magic Machine Component / Power,COMPONENT / DEFER EXACT,Mana Coil,POC EVIDENCE,"Treat as a manufactured component, not material. Current sources do not by themselves prove the exact component survives unchanged."
242,VXL_ITM_MagicMachineComponent_ManaBatteryCore,item.magic.mana_battery_core,Mana Battery Core,item,Magic Machine Component / Storage,COMPONENT / DEFER EXACT,Mana Battery Core,POC EVIDENCE,"Treat as a manufactured component, not material. Current sources do not by themselves prove the exact component survives unchanged."
243,VXL_ITM_Tool_IronShovel,item.tool.shovel_iron,Iron Shovel,item,Tool / Shovel,DEFER / TOOL REVIEW,Iron Shovel,POC EVIDENCE,Tool family may be valid; exact POC tool identity/progression remains FCC-13/other content work unless separately locked.
244,VXL_ITM_Tool_BasicHoe,item.tool.hoe_basic,Basic Hoe,item,Tool / Farming,DEFER / TOOL REVIEW,Basic Hoe,POC EVIDENCE,Tool family may be valid; exact POC tool identity/progression remains FCC-13/other content work unless separately locked.
245,VXL_ITM_Tool_BasicSickle,item.tool.sickle_basic,Basic Sickle,item,Tool / Harvesting,DEFER / TOOL REVIEW,Basic Sickle,POC EVIDENCE,Tool family may be valid; exact POC tool identity/progression remains FCC-13/other content work unless separately locked.
246,VXL_ITM_Tool_BasicSaw,item.tool.saw_basic,Basic Saw,item,Tool / Woodworking,DEFER / TOOL REVIEW,Basic Saw,POC EVIDENCE,Tool family may be valid; exact POC tool identity/progression remains FCC-13/other content work unless separately locked.
247,VXL_ITM_Tool_MeasuringRope,item.tool.measuring_rope,Measuring Rope,item,Tool / Planning,DEFER / TOOL REVIEW,Measuring Rope,POC EVIDENCE,Tool family may be valid; exact POC tool identity/progression remains FCC-13/other content work unless separately locked.
248,VXL_ITM_Weapon_StoneSpear,item.weapon.stone_spear,Stone Spear,item,Weapon / Melee,DEFER / EQUIPMENT REVIEW,Stone Spear,POC EVIDENCE,"Equipment concept may fit Leyforge, but exact POC object is not proven by FCC-12 and must not be auto-promoted."
249,VXL_ITM_Weapon_IronSpear,item.weapon.iron_spear,Iron Spear,item,Weapon / Melee,DEFER / EQUIPMENT REVIEW,Iron Spear,POC EVIDENCE,"Equipment concept may fit Leyforge, but exact POC object is not proven by FCC-12 and must not be auto-promoted."
250,VXL_ITM_Weapon_BasicCrossbow,item.weapon.crossbow_basic,Basic Crossbow,item,Weapon / Ranged,DEFER / EQUIPMENT REVIEW,Basic Crossbow,POC EVIDENCE,"Equipment concept may fit Leyforge, but exact POC object is not proven by FCC-12 and must not be auto-promoted."
251,VXL_ITM_Ammo_BoltBundle,item.ammo.bolt_bundle,Bolt Bundle,item,Ammo / Ranged,DEFER / EQUIPMENT REVIEW,Bolt Bundle,POC EVIDENCE,"Equipment concept may fit Leyforge, but exact POC object is not proven by FCC-12 and must not be auto-promoted."
252,VXL_ITM_Weapon_SparkWand,item.weapon.wand_spark,Spark Wand,item,Weapon / Magic Focus,DEFER / EQUIPMENT REVIEW,Spark Wand,POC EVIDENCE,"Equipment concept may fit Leyforge, but exact POC object is not proven by FCC-12 and must not be auto-promoted."
253,VXL_ITM_MagicEquipment_BlankSpellbook,item.weapon.spellbook_blank,Blank Spellbook,item,Magic Equipment / Spellbook,DEFER / EQUIPMENT REVIEW,Blank Spellbook,POC EVIDENCE,"Equipment concept may fit Leyforge, but exact POC object is not proven by FCC-12 and must not be auto-promoted."
254,VXL_ITM_Armour_IronHelmet,item.armor.iron_helmet,Iron Helmet,item,Armour / Heavy,DEFER / EQUIPMENT REVIEW,Iron Helmet,POC EVIDENCE,"Equipment concept may fit Leyforge, but exact POC object is not proven by FCC-12 and must not be auto-promoted."
255,VXL_ITM_Armour_IronChestplate,item.armor.iron_chestplate,Iron Chestplate,item,Armour / Heavy,DEFER / EQUIPMENT REVIEW,Iron Chestplate,POC EVIDENCE,"Equipment concept may fit Leyforge, but exact POC object is not proven by FCC-12 and must not be auto-promoted."
256,VXL_ITM_Armour_ApprenticeMageRobe,item.armor.mage_robe_apprentice,Apprentice Mage Robe,item,Armour / Magic Cloth,DEFER / EQUIPMENT REVIEW,Apprentice Mage Robe,POC EVIDENCE,"Equipment concept may fit Leyforge, but exact POC object is not proven by FCC-12 and must not be auto-promoted."
257,VXL_ITM_Equipment_IronShield,item.equipment.iron_shield,Iron Shield,item,Equipment / Shield,DEFER / EQUIPMENT REVIEW,Iron Shield,POC EVIDENCE,"Equipment concept may fit Leyforge, but exact POC object is not proven by FCC-12 and must not be auto-promoted."
258,VXL_ITM_Equipment_ToolBelt,item.equipment.tool_belt,Tool Belt,item,Equipment / Utility,DEFER / EQUIPMENT REVIEW,Tool Belt,POC EVIDENCE,"Equipment concept may fit Leyforge, but exact POC object is not proven by FCC-12 and must not be auto-promoted."
259,VXL_ITM_Food_RoastedMushroom,item.food.roasted_mushroom,Roasted Mushroom,item,Food / Meal,DEFER / CONTENT REVIEW,Roasted Mushroom,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
260,VXL_ITM_Food_VillageMealPack,item.food.village_meal_pack,Village Meal Pack,item,Food / Ration,DEFER / CONTENT REVIEW,Village Meal Pack,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
261,VXL_ITM_Drink_HerbalTea,item.drink.herbal_tea,Herbal Tea,item,Drink / Buff,DEFER / CONTENT REVIEW,Herbal Tea,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
262,VXL_ITM_Consumable_HealingPoultice,item.consumable.healing_poultice,Healing Poultice,item,Consumable / Medicine,DEFER / CONTENT REVIEW,Healing Poultice,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
263,VXL_ITM_Consumable_BasicHealingPotion,item.consumable.healing_potion_basic,Basic Healing Potion,item,Consumable / Potion,DEFER / CONTENT REVIEW,Basic Healing Potion,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
264,VXL_ITM_Consumable_MinorRecallScroll,item.consumable.scroll_recall_minor,Minor Recall Scroll,item,Consumable / Scroll,DEFER / CONTENT REVIEW,Minor Recall Scroll,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
265,VXL_ITM_Currency_SilverTradeCoin,item.economy.trade_coin_silver,Silver Trade Coin,item,Currency / Economy,DEFER / ECONOMY BINDING,Silver Trade Coin,FCC-01 ECONOMY + POC,Currency is not universally fixed; this POC row must not become universal money by inheritance.
266,VXL_ITM_TradeGood_GrainSack,item.economy.grain_sack,Grain Sack,item,Trade Good / Food,DEFER / CONTENT REVIEW,Grain Sack,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
267,VXL_ITM_TradeGood_ToolBundle,item.economy.tool_bundle,Tool Bundle,item,Trade Good / Tools,DEFER / CONTENT REVIEW,Tool Bundle,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
268,VXL_ITM_TradeGood_GuardWeaponBundle,item.economy.guard_weapon_bundle,Guard Weapon Bundle,item,Trade Good / Defence,DEFER / CONTENT REVIEW,Guard Weapon Bundle,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
269,VXL_ITM_TradeGood_MedicalBundle,item.economy.medical_bundle,Medical Bundle,item,Trade Good / Medicine,DEFER / CONTENT REVIEW,Medical Bundle,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
270,VXL_ITM_TradeGood_FestivalGoods,item.economy.festival_goods,Festival Goods,item,Trade Good / Culture,DEFER / CONTENT REVIEW,Festival Goods,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
271,VXL_ITM_Loot_WolfPelt,item.loot.wolf_pelt,Wolf Pelt,item,Loot / Hide,DEFER / LOOT REVIEW,Wolf Pelt,POC EVIDENCE,Exact drop/creature provenance is not established by FCC-12.
272,VXL_ITM_Loot_BeastFang,item.loot.beast_fang,Beast Fang,item,Loot / Trophy Component,DEFER / LOOT REVIEW,Beast Fang,POC EVIDENCE,Exact drop/creature provenance is not established by FCC-12.
273,VXL_ITM_MagicLoot_WeakWispCore,item.loot.wisp_core_weak,Weak Wisp Core,item,Magic Loot / Core,COMPONENT / DEFER EXACT,Weak Wisp Core,POC EVIDENCE,"Treat as a manufactured component, not material. Current sources do not by themselves prove the exact component survives unchanged."
274,VXL_ITM_Loot_BanditBadge,item.loot.bandit_badge,Bandit Badge,item,Loot / Proof,DEFER / LOOT REVIEW,Bandit Badge,POC EVIDENCE,Exact drop/creature provenance is not established by FCC-12.
275,VXL_ITM_Treasure_AncientCoin,item.treasure.ancient_coin,Ancient Coin,item,Treasure / Relic Currency,DEFER / CONTENT REVIEW,Ancient Coin,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
276,VXL_ITM_Knowledge_BlankRecipeScroll,item.knowledge.recipe_scroll_blank,Blank Recipe Scroll,item,Knowledge / Writable,DEFER / CONTENT REVIEW,Blank Recipe Scroll,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
277,VXL_ITM_Knowledge_VillageConstructionPlan,item.knowledge.village_construction_plan,Village Construction Plan,item,Knowledge / Blueprint,DEFER / CONTENT REVIEW,Village Construction Plan,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
278,VXL_ITM_Knowledge_CultureCustomsBook,item.knowledge.culture_customs_book,Culture Customs Book,item,Knowledge / Culture,DEFER / CONTENT REVIEW,Culture Customs Book,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
279,VXL_ITM_Key_RustedOldKey,item.key.rusted_old_key,Rusted Old Key,item,Key / Dungeon,DEFER / CONTENT REVIEW,Rusted Old Key,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
280,VXL_ITM_Key_BrokenSealFragment,item.key.broken_seal_fragment,Broken Seal Fragment,item,Key / Story,DEFER / CONTENT REVIEW,Broken Seal Fragment,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
281,VXL_ITM_RefinedMaterial_ArcaneAlloyIngot,item.material.arcane_alloy_ingot,Arcane Alloy Ingot,item,Refined Material / Magitech,MATERIAL/FORM REVIEW,Arcane Alloy Ingot,POC EVIDENCE + FCC-12,"Resolve underlying canonical material, form and transformation explicitly before rebinding."
282,VXL_ITM_RefinedMaterial_MythrilIngot,item.material.mythril_ingot,Mythril Ingot,item,Refined Material / Magical Metal,FORM / REBIND CANONICAL,Mythril + ingot form,LOCKED FCC-12,Mythril is canonical; ingot is a form.
283,VXL_ITM_DimensionItem_FaeSeed,item.realm.fae_seed,Fae Seed,item,Dimension Item / Nature,CATEGORY / LEGACY,specific authored seed/plant where known,LOCKED FCC-12,"Fae Seed is category/flavour/legacy terminology, not a major exact material."
284,VXL_ITM_DimensionItem_InfernalAsh,item.realm.infernal_ash,Infernal Ash,item,Dimension Item / Infernal,REBIND CANONICAL,Infernal Ash,LOCKED FCC-12,Canonical Ashen material.
285,VXL_ITM_DimensionItem_DeepForgeEmber,item.realm.deep_forge_ember,Deep Forge Ember,item,Dimension Item / Deep Forge,MIGRATE CONTEXTUALLY,Deepfire Ember only if source/context confirms equivalence,LOCKED FCC-12 BOUNDARY,Do not create a new Deep Forge Ember material without evidence.
286,VXL_ITM_ForbiddenMagicComponent_ShadowEssence,item.magic.essence_shadow,Shadow Essence,item,Forbidden Magic Component,DEFER / UNCONFIRMED,Shadow Essence,POC EVIDENCE,No current FCC-12 exact material/component target established.
287,VXL_ITM_GolemancyComponent_ClayGolemHeart,item.magic.heart_golem_clay,Clay Golem Heart,item,Golemancy Component,COMPONENT / DEFER EXACT,Clay Golem Heart,POC EVIDENCE,"Manufactured component semantics are valid, but exact POC component survival/recipe remains unbound."
288,VXL_MCH_MagicMachineComponent_RuneEngineCore,item.component.rune_engine_core,Rune Engine Core,item,Magic Machine Component / Power,COMPONENT / DEFER EXACT,Rune Engine Core,POC EVIDENCE,"Treat as a manufactured component, not material. Current sources do not by themselves prove the exact component survives unchanged."
289,VXL_MCH_MagicMachineComponent_PortalStabiliser,item.component.portal_stabiliser,Portal Stabiliser,item,Magic Machine Component / Portal,COMPONENT / DEFER EXACT,Portal Stabiliser,POC EVIDENCE,"Treat as a manufactured component, not material. Current sources do not by themselves prove the exact component survives unchanged."
290,VXL_MCH_GolemancyComponent_GolemCommandGlyph,item.component.golem_command_glyph,Golem Command Glyph,item,Golemancy Component / Logic,COMPONENT / DEFER EXACT,Golem Command Glyph,POC EVIDENCE,"Treat as a manufactured component, not material. Current sources do not by themselves prove the exact component survives unchanged."
291,VXL_MCH_Relic_AncientMachineCore,item.artifact.ancient_machine_core,Ancient Machine Core,item,Relic / Ancient Tech,COMPONENT / DEFER EXACT,Ancient Machine Core,POC EVIDENCE,"Treat as a manufactured component, not material. Current sources do not by themselves prove the exact component survives unchanged."
292,VXL_ITM_Relic_LivingCrownSeed,item.artifact.living_crown_seed,Living Crown Seed,item,Relic / Nature,DEFER / PROVENANCE OBJECT REVIEW,Living Crown Seed,POC EVIDENCE,"Relic status is provenance/content, not a material tier. Exact object requires later canonical support."
293,VXL_ITM_Relic_VoidCompass,item.artifact.void_compass,Void Compass,item,Relic / Navigation,DEFER / PROVENANCE OBJECT REVIEW,Void Compass,POC EVIDENCE,"Relic status is provenance/content, not a material tier. Exact object requires later canonical support."
294,VXL_ITM_Weapon_MythrilSpellblade,item.weapon.mythril_spellblade,Mythril Spellblade,item,Weapon / Hybrid,DEFER / EQUIPMENT REVIEW,Mythril Spellblade,POC EVIDENCE,"Equipment concept may fit Leyforge, but exact POC object is not proven by FCC-12 and must not be auto-promoted."
295,VXL_ITM_Weapon_MasterRuneStaff,item.weapon.rune_staff_master,Master Rune Staff,item,Weapon / Magic Focus,DEFER / EQUIPMENT REVIEW,Master Rune Staff,POC EVIDENCE,"Equipment concept may fit Leyforge, but exact POC object is not proven by FCC-12 and must not be auto-promoted."
296,VXL_ITM_Armour_ArcaneEngineerCoat,item.armor.arcane_engineer_coat,Arcane Engineer Coat,item,Armour / Utility Magic,DEFER / EQUIPMENT REVIEW,Arcane Engineer Coat,POC EVIDENCE,"Equipment concept may fit Leyforge, but exact POC object is not proven by FCC-12 and must not be auto-promoted."
297,VXL_ITM_Equipment_LinkedSatchel,item.equipment.linked_satchel,Linked Satchel,item,Equipment / Magic Storage,DEFER / EQUIPMENT REVIEW,Linked Satchel,POC EVIDENCE,"Equipment concept may fit Leyforge, but exact POC object is not proven by FCC-12 and must not be auto-promoted."
298,VXL_ITM_CultureTradeGood_DwarvenGearwork,item.economy.dwarven_gearwork,Dwarven Gearwork,item,Culture Trade Good / Dwarf,DEFER / CONTENT REVIEW,Dwarven Gearwork,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
299,VXL_ITM_CultureTradeGood_ElvenLivingThread,item.economy.elven_living_thread,Elven Living Thread,item,Culture Trade Good / Elf,DEFER / CONTENT REVIEW,Elven Living Thread,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
300,VXL_ITM_CultureTradeGood_GoblinClockworkJunk,item.economy.goblin_clockwork_junk,Goblin Clockwork Junk,item,Culture Trade Good / Goblin,DEFER / CONTENT REVIEW,Goblin Clockwork Junk,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
301,VXL_ITM_Knowledge_AncientPortalRubbing,item.knowledge.portal_rubbing,Ancient Portal Rubbing,item,Knowledge / Dimension,DEFER / CONTENT REVIEW,Ancient Portal Rubbing,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
302,VXL_ITM_Knowledge_BossWeaknessCodex,item.knowledge.boss_weakness_codex,Boss Weakness Codex,item,Knowledge / Combat,DEFER / CONTENT REVIEW,Boss Weakness Codex,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
303,VXL_ITM_Trophy_CapturedRaiderBanner,item.trophy.raider_banner,Captured Raider Banner,item,Trophy / Faction,DEFER / CONTENT REVIEW,Captured Raider Banner,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
304,VXL_ITM_MonsterDrop_DrakeScale,item.trophy.drake_scale,Drake Scale,item,Monster Drop / Rare Trophy,DEFER / LOOT REVIEW,Drake Scale,POC EVIDENCE,Exact drop/creature provenance is not established by FCC-12.
305,VXL_ITM_QuestItem_FactionSeal,item.quest.faction_seal,Faction Seal,item,Quest Item / Diplomacy,DEFER / CONTENT REVIEW,Faction Seal,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
306,VXL_ITM_DimensionMaterial_VoidstoneShard,item.material.voidstone_shard,Voidstone Shard,item,Dimension Material / Void,DEFER / MIGRATION-ONLY,future/deferred Voidstone-derived content only if later canon restores it,LOCKED FCC-12,No active current Voidstone material progression.
307,VXL_ITM_DimensionMaterial_CelestialMetalFragment,item.material.celestial_fragment,Celestial Metal Fragment,item,Dimension Material / Celestial,FORM / REBIND CANONICAL,Celestial Metal + fragment form,LOCKED FCC-12,Celestial Metal is canonical; fragment is a physical form/product.
308,VXL_ITM_DimensionItem_DreamGlassShard,item.realm.dream_glass_shard,Dream Glass Shard,item,Dimension Item / Dream,MIGRATE CONTEXTUALLY,"Lucid Glass + shard form, or documented Lucid Glass state/product",LOCKED FCC-12,Legacy Dream Glass name must resolve through Lucid Glass semantics.
309,VXL_MCH_Automation_BasicMechanicalMiner,automation.machine.basic_miner,Basic Mechanical Miner,block,Automation / Machine,SYSTEM CANDIDATE / REBIND,Basic Mechanical Miner,PROJECT ARCHITECTURE + POC,"Concept aligns with established logistics/power/automation direction; exact ID, object model and progression status remain unbound."
310,VXL_BLK_Village_WarehouseInputHatch,automation.village.warehouse_input_hatch,Village Warehouse Input Hatch,block,Automation / Village Endpoint,SYSTEM CANDIDATE / REBIND,Village Warehouse Input Hatch,PROJECT ARCHITECTURE + POC,"Concept aligns with established logistics/power/automation direction; exact ID, object model and progression status remain unbound."
311,VXL_ITM_Tool_CrudeShovel,item.tool.shovel_crude,Crude Shovel,item,Tool / Shovel,DEFER / TOOL REVIEW,Crude Shovel,POC EVIDENCE,Tool family may be valid; exact POC tool identity/progression remains FCC-13/other content work unless separately locked.
312,VXL_ITM_Tool_StoneShovel,item.tool.shovel_stone,Stone Shovel,item,Tool / Shovel,DEFER / TOOL REVIEW,Stone Shovel,POC EVIDENCE,Tool family may be valid; exact POC tool identity/progression remains FCC-13/other content work unless separately locked.
